らくらくメルカリ便,神奈川,2~3日で発送,送料込み(出品者負担)
ゆうゆうメルカリ便,千葉,2~3日で発送,送料込み(出品者負担)
大型らくらくメルカリ便,東京,2~3日で発送,送料込み(出品者負担)
未定,東京,4~7日で発送,着払い(購入者負担)
ゆうメール,神奈川,4~7日で発送,着払い(購入者負担)
レターパック,東京,4~7日で発送,着払い(購入者負担)
普通郵便(定形・定形外),東京,4~7日で発送,着払い(購入者負担)
クロネコヤマト,北海道,1~2日で発送,送料込み(出品者負担)
ゆうパック,千葉,4~7日で発送,送料込み(出品者負担)
クリックポスト,千葉,1~2日で発送,着払い(購入者負担)
ゆうパケット,千葉,4~7日で発送,送料込み(出品者負担)
クリックポスト,千葉,4~7日で発送,着払い(購入者負担)
ゆうパケット,千葉,1~2日で発送,着払い(購入者負担)
普通郵便(定形・定形外),千葉,4~7日で発送,着払い(購入者負担)
大型らくらくメルカリ便,千葉,1~2日で発送,着払い(購入者負担)
ゆうゆうメルカリ便,千葉,4~7日で発送,着払い(購入者負担)
